,Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
90,Pengaruh IMC (Integrated Marketing Communication) dan Kualitas Layanan terhadap Kepuasan Peziarah pada Makam Religi Bangkalan (Studi Kasus Makam Syaikhona Muhammad Kholil), Dea Putri Sekar Sari," Lilis Suaibah, S.Ag.,M.Pd.",,"ABSTRAK

âPengaruh IMC (Integrated Marketing Communication) Dan Kualitas Layanan Terhadap Kepuasan Peziarah Pada Makam Religi Bangkalanâ
(Studi Kasus Makam Syaikhona Muhammad Kholil Bangkalan)

Trend pertumbumbuhan wisata yang ada di dunia dan di Indonesia saat ini meningkat tajam, hal ini sejalan dengan data yang di rilis oleh  Word Tourisme Organization (WTO) yang menyatakan tingkat pertumbuhan wisatawan global dalam periode sepuluh tahun terakhir di proyeksikan meningkat sebanyak 4,1 %. Indonesia mempunyai banyak factor untuk dapat meningkatkan devisa negara di antaranya ialah sector pariwisata. Salah satunya ialah Pulau Madura yang memiliki banyak sekali potensi termasuk potensi pariwisata. Namun untuk saat ini potensi pariwisata Religi berpeluang besar dalam peningkatan APBD daerah, mengingat Masyarakat Madura yang terkenal religius. Salah satu objek pariwisata Religi yang ada di Madura ialah Wisata Religi Makam Syaikhona Muhammad Kholil yang terletak di Bangkalan. Dalam mengembangkan wisata religi tentu ada beberapa hal yang harus di perhatikan oleh diantaranya ialah model pemasaran dan juga kualitas layanan yang di berikan. Penelitian ini bertujuan untuk mengetahui pengaruh IMC (Integrated Marketing Communication) dan kualitas layanan baik secara langsung maupun tidak langsung terhadap kepuasan peziarah pada makam religi Syaikhona Muhammad Kholil. 
Penelitian ini menggunakan metode penelitian kuantitatif, dengan software SmartPLS, metode analisis SEM atau Structural Equation Models. Pengujian hipotesis menggunakan uji-t statistic dan juga dengan melihat nila p-value. Hasil penelitian menunjukkan IMC tidak berpengaruh langsung terhadap kepuasan peziarah, IMC berpengaruh langsung terhadap kualitas layanan, dan Kualitas layanan berpengaruh langsung terhadap kepuasan peziarah.

Kata Kunci : Pariwisata, IMC (Integrated Marketing Communication), Kualitas Layanan, dan Kepuasan Peziarah
"
91,ANALISIS FINANCIAL DISTRESS MENGGUNAKAN MODEL ALTMAN Z-SCORE PADA PERBANKAN SYARIAH DI INDONESIA TAHUN 2015-2019, Fara Ala Diba," Firman Setiawan, S.H.I., M.E.I",,"?Financial Distress merupakan ketidakmampuan suatu perusahaan dalam memenuhi kewajibannya. Analisis ini diperlukan sebagai bahan evaluasi perusahaan dalam memperbaiki kinerja perusahaan sehingga terhindar dari kesulitan keuangan yang lebih buruk yaitu kebangkrutan. Banyak formula yang digunakan untuk menganalisis financial distress, salah satunya yaitu model Altman Z-score.
?Penelitian ini bertujuan untuk menganalisis financial distress pada bank umum syariah di Indonesia pada tahun 2015-2019. Jenis penelitian ini merupakan penelitian kuantitatif dengan pendekatan deskriptif. Data yang digunakan adalah data sekunder berupa daftar perbankan syariah di Indonesia dan data primer berupa laporan keuangan bank umum syariah periode 2015-2019. Selanjutnya dianalisis menggunakan aplikasi Microsoft Excel menggunakan rumus model Altman Z-score.
?Hasil penelitian ini menunjukkan bahwa bank umum syariah yang dikategorikan sehat terdiri dari satu bank pada tahun 2015, dua bank pada tahun 2016, dua bank pada tahun 2017, dua bank pada tahun 2018, dan dua bank pada tahun 2019; bank umum syariah yang dikategorikan grey area terdiri dari dua bank pada tahun 2015, satu bank pada tahun 2016, satu bank pada tahun 2017, satu bank pada tahun 2018, satu bank pada tahun 2019; serta tidak ada dari ketiga bank umum syariah tersebut pada periode 2015-2019 yang dikategorikan perusahaan bangkrut.
Kata Kunci: Financial Distress, Altman Z-score, Bank Umum Syariah."
92,KAJIAN STOK RAJUNGAN (Portunus Pelagicus) DI PENDARATAN IKAN DESA BANCARAN BANGKALAN, Nur Dina Kamelia," Dr. Firman Farid Muhsoni, S.Pi., M.Sc",,"Rajungan (Portunus pelagicus) merupakan komoditas yang penting karena mempunyai nilai ekonomi tinggi dan permintaan pasar baik di dalam maupun luar negeri masih tinggi. Semakin tingginya permintaan akan rajungan untuk diekspor membuat eksistensi dari rajungan menjadi semakin menurun. Tujuan penelitian ini adalah mengkaji status stok rajungan (Portunus pelagicus) di pendaratan ikan desa Bancaran, Bangkalan yang meliputi laju pertumbuhan, mortalitas, tingkat eskploitasi dan pola rekrutmen. Penelitian ini dilakukan pada bulan Desember 2019-Februari 2020. Sampel rajungan yang ditangkap nelayan setempat menggunakan jaring insang dasar dengan mesh size 3,0-3,5 inci dengan total sampel berjumlah 624 ekor dimana 339 ekor rajungan jantan dan 285 ekor betina. Kisaran lebar karapas 5,24-13,83 cm yang terdiri atas 3 kelompok ukuran dimana secara keseluruhan rajungan di Desa Bancaran, Bangkalan memiliki rata-rata lebar karapas berkisar antara 10,46 cm dengan bobot 76,5 g. Secara umum pola pertumbuhan rajungan jantan, betina, dan gabungan adalah allometrik negatif (?, 0.05) dengan persamaan pertumbuhan Lt = 19,5 [1-e-0,11(t-(-0,5652))]. Laju mortalitas alami (M) rajungan sebesar 0,49 per thaun dan laju mortalitas penangkapan (F) 0,40 per tahun, sehingga diketahui laju eksploitasi rajungan (E) sebesar 45% (under fishing). Pola rekrutmen rajungan di lokasi penelitian tertinggi pada bulan Juni (17,77%)."
93,PEMETAAN RISIKO TSUNAMI BERDASARKAN SKENARIO KETINGGIAN TSUNAMI DI KECAMATAN PASIRIAN KABUPATEN LUMAJANG PROVINSI JAWA TIMUR, Iqbal Fahmi Abdillah," Dr. Firman Farid Muhsoni, S.Pi., M.Sc","Dr. Firman Farid Muhsoni, S.Pi., M.Sc","ABSTRAK

Tsunami merupakan bencana yang dapat memberikan ancaman kepada masyarakat yang berada di wilayah pesisir.Tsunami mampu membuat kerusakan di daratan karena tsunami memiliki daya hancur yang besar sehingga tsunami perlu diwaspadahi kemuculannya. Bencana tsunami yang memiliki dampak merugikan maka perlu adanya penanggulangan dini bencana tsunami di daerah pesisir selatan Kecamatan Pasirian Kabupaten Lumajang. Mitigasi bencana tsunami adalah upaya untuk meminimalkan dampak tsunami yang akan terjadi karena proses perbaikan atau pemulihan pasca tsunami memerlukan rentang waktu yang begitu panjang. Penelitian ini bertujuan untuk mengetahui tingkat risiko tsunami yang ada di Kecamatan Pasirian. Penelitian ini dilakukan di Kecamatan Pasirian, Kabupaten Lumajang, Provinsi Jawa Timur. Parameter yang digunakan dalam menentukan tingkat risiko tsunami yaitu penggunaan lahan, koefisien kekasaran permukaan, kelerengan dan skenario ketinggian tsunami 1m, 2m, 5m, 15m dan 30m dengan menggunakan bantuan model builder. Hasil yang didapatkan Tingkat risiko tsunami pada skenario 1m dengan risiko rendah 124.54km2; risiko sedang 0.86km2 dan risiko tinggi 0.0009km2. Skenario 2m dengan risiko rendah 123.06km2; risiko sedang 1.39km2 dan risiko tinggi 0.95km2. Skenario 5m dengan risiko rendah 119.07km2; risiko sedang 3.46km2 dan risiko tinggi 2.87km2. Skenario 15m dengan risiko rendah 96.82km2; risiko sedang 12.07km2 dan risiko tinggi 16.51km2. Skenario 30m dengan risiko rendah 71.52km2; risiko sedang 17.76km2 dan risiko tinggi 36.14km2.

Kata Kunci: Tsunami, Model Builder, Kecamatan Pasirian, Skenario, Risiko

"
94,"  PERENCANAAN KEBIJAKAN PENGENDALIAN PERSEDIAAN BAHAN BAKU DENGAN MENGGUNAKAN METODE EOQ PADA DIVISI PENGECORAN 
(Studi Kasus: PT. Apie Indo Karunia)

", Nisfu Laylatus Sabihis," Sugeng Purwoko, S.T., M.T","Mu'alim, S.T., M.T","PT. Apie Indo Karunia merupakan suatu perusahaan di bidang industri manufaktur yang memproduksi produk berbahan dasar logam. Produk yang diproduksi sesuai dengan pesanan konsumen, jadi sistem yang digunakan yaitu make to order. Perusahaan mempunyai dua divisi yaitu pengecoran logam dan pembubutan. Perusahaan melakukan pembelian bahan baku tidak stabil sehingga dapat mengakibatkan stock out dan over stock. Pembelian bahan baku berlebih akan mengakibatkan bertambahnya biaya-biaya tertentu seperti halnya biaya simpan. Sedangkan terjadinya stock out dapat menghambat jalannya proses produksi, hal tersebut dapat menyebabkan keterlambatan pengiriman barang sehingga berkurangnya kepercayaan konsumen dan perusahaan juga dapat terkena pinalty. Oleh karena itu untuk menghindari adanya stock out maupun over stock, penelitian ini dapat diselesaikan dengan menggunakan metode Economic Order Quantity (EOQ) probabilistik. Ada tiga jenis bahan baku yang diteliti yaitu kayu tripleks, pasir silika, dan scrap besi. Diketahui lot optimum bahan baku kayu tripleks adalah sebesar 623,46 kg atau 0,62 ton, lot optimum bahan baku pasir silika adalah sebesar 1442,22 kg atau 1,44 ton, serta bahan baku scrap besi adalah sebesar 1138,99 kg atau 1,14 ton. Diketahui Safety Stock (SS) bahan baku kayu tripleks adalah sebesar 101,24 kg dan 0,1 ton, bahan baku pasir silika adalah sebesar 4833,84 kg atau 4,83 ton, serta bahan baku scrap besi adalah sebesar 4545,38 kg atau 4,55 ton. Diketahui Reorder Point (ROP) bahan baku kayu tripleks adalah sebesar 126,27 kg atau 0,13 ton, bahan baku pasir silika adalah sebesar 12141,54 kg atau 12,14 ton, serta bahan baku srap besi adalah 14853,08 kg atau 14,84 ton."
95,"ANALISIS MISKONSEPSI SISWA PADA MATERI KLASIFIKASI 
MATERI DENGAN MENGGUNAKAN 
FOUR-TIER DIAGNOSTIC TEST", Kurroti Uyuni," Laila Khamsatul Muharrami, S. Si., M. Si","Irsad Rosidi, S.Pd., M. Pd","Penelitian ini bertujuan untuk mengetahui persentase miskonsepsi yang terjadi pada siswa 
serta faktor-faktor penyebab terjadinya miskonsepsi pada siswa. Penelitian ini dilaksanakan 
di Desa Legung Timur, Kecamatan Batang-Batang, Kabupaten Sumenep, dengan populasi 
semua siswa kelas VII tahun ajaran 2019/2020. Teknik pengambilan data yang digunakan 
yaitu teknik nonprobability sampling dengan jenis purposive sampling. Sampel yang 
digunakan dalam penelitian ini berjumlah 20 siswa. Teknik pengambilan data pada 
penelitian ini terbagi menjadi dua, yaitu pengambilan data kuantitatif digunakan untuk 
mengetahui persentase miskonsepsi yang terjadi pada siswa, dan pengambilan data 
kualitatif dengan menggunakan model Miles dan Huberman untuk mengetahui faktor-faktor 
penyebab terjadinya miskonsepsi pada siswa. Hasil penelitian menunjukkan sebanyak 46% 
siswa mengalami miskonsepsi, siswa yang paham konsep sebesar 32%, siswa yang tidak 
paham konsep sebesar 16%, dan siswa yang mengalamai error sebesar 6%. Faktor-faktor 
penyebab terjadinya miskonsepsi pada siswa yaitu (1) Minat dan motivasi belajar siswa 
rendah, (2) Prakonsepsi yang dimiliki siswa, (3) Pemahaman konsep siswa, (4) Metode 
mengajar guru, dan (5) konteks. Miskonsepsi yang terjadi secara terus menerus tanpa 
diatasi akan menghambat siswa dalam pembelajaran dan akan berpengaruh pada 
pemahaman konsep siswa pada materi berikutnya, sehingga identifikasi miskonsepsi sangat 
penting untuk dilakukan baik diawal pembelajaran maupun diakhir pembelajaran."
96,"Keberadaan Mikroplastik Pada Ikan Swanggi (Priacanthus tayenus), Sedimen dan Air Laut di Perairan Pesisir Brondong, Kabupaten Lamongan", Wizarotul Labibah," Haryo Triajie, S.Pi., M.Si",,"Mikroplastik merupakan sampah plastik yang mengalami degradasi dan terurai menjadi partikel-partikel plastik yang kecil ? 5 mm. Keberadaan mikroplastik di perairan memungkinkan tidak sengaja termakan biota laut seperti ikan. Penelitian ini bertujuan untuk mengetahui bentuk dan jumlah mikroplastik yang terdapat pada saluran pencernaan ikan Swanggi (Priacanthus tayenus), sedimen dan air. Pengambilan sampel diambil 3 kali dengan 1 kali pengambilan sebanyak 9 sampel. Sampel ikan Swanggi yang diidentifikasi dengan melihat jenis kelamin dan ukurannya yaitu ukuran kecil, sedang dan besar dengan panjang 14,9-32 cm dan berat 44-278,5 g untuk ikan Swanggi jantan serta panjang 16,2-26 cm dan berat 56-220 g untuk betina. Hasil menunjukkan bahwa mikroplastik yang ditemukan pada saluran pencernaan ikan Swanggi (Priacathus tayenus), yaitu bentuk fiber, fragmen dan film sebesar 389 partikel/ind untuk ikan Swanggi jantan dan 382 partikel/ind untuk betina. Mikroplastik pada sedimen ditemukan bentuk fiber, fragmen dan film dengan jumlah total 363 partikel/g. Sedangkan mikroplastik pada air ditemukan bentuk fiber, fragmen dan film dengan jumlah total 444 partikel/mL"
97,Pengembangan LKS Berbasis Keterampilan Generik Sains Melalui Praktikum IPA Di SMP, Indah Sari Mardana," Laila khamsatul M, S.Si.,M.Si.","Mochammad Yasir, S.Pd.,M.Pd","Penelitian ini bertujuan untuk mengetahui kelayakan, keterbacaan, dan respons 
siswa terhadap Lembaran kerja siswa. Menggunakan model pengembangan 4D 
meliputi Define, Design, Develop, Desseminate dan keterampilan Generik sains. 
Berdasarkan hasil penelitian diperoleh nilai rata-rata kelayakan media dari uji 
valiadsi sebesar 0,88% dinyatakan layak digunakan tanpa revis, dan uji reliabilitas 
sebesar 93% dinyatakan sangat baik, rata-rata kelayakan materi dari hasil uji 
validitas sebesar 0,83% dinyatakan layak digunakan tanpa revisi dan uji 
reliabilitas sebesar 91% dinyatakan sangat baik, keterbacaan sebesar 93,35% 
dinyatakan sangat baik, respons siswa sebesar 87,91% dinyatakan baik. 
Disimpulkan bahwa pengembanagan Lembar kerja siswa berbasis keterampilan 
generik sains melalui praktikum IPA layak digunakan sebagai bahan ajar dalam 
proses pembelajaran
Kata Kunci: Cahaya dan Optik, Keterampilan Generik sains. Praktikum 
IPA, Lembar kerja siswa."
98,TINJAUAN HUKUM ISLAM  TERHADAP BISNIS JASA TRANSPORTASI DI WISATA RELIGI ASTA SAYYID YUSUF KECAMATAN TALANGO, Faizatun Nazila ," Shofiyun Nahidloh, S.Ag.,M.H.I ",,"Perbedaan harga yang diterapkan pemilik jasa transportasi di objek wisata kerap menjadi suatu kebiasaan bagi masyarakat. Sesuatu yang menjadi kebiasaan belum tentu benar menurut Islam. Keadilan merupakan salah satu aturan bisnis syariah yang harus dipenuhi apalagi kebiasaan tersebut terjadi di objek wisata religi asta Sayyid Yusuf yang sebagian besar masyarakat mengaggap bahwa wisata religi merupakan wisata syariâah. 
 Melihat realita diatas, penyusun tertarik untuk meneliti hal tersebut dengan objek penelitian di wisata religi asta Sayyid Yusuf dengan rumusan masalah : bagaimana pelaksanaan bisnis jasa transportasi di wisata religi asta Sayyid Yusuf? Dan bagaimana tinjauan hukum Islam terhadap bisnis jasa transportasi di wisata religi asta Sayyid Yusuf?.
 Jenis penelitian ini merupakan penelitian lapangan (filed research), dan penelitian ini bersifat deskriptif analisis, yaitu dengan cara meneliti dan memberi penilaian terhadap realita dilapangan  dengan pendekatan empiris normatif.
 Berdasarkan hasil penelitian dan analisis hukum dapat disimpulkan bahwa perbedaan harga yang terjadi antara wisatawan dan warga di wisata religi asta Sayyid Yusuf adalah demi kemaslahatan bersama, warga yang tidak di pungut tiket masuk merupakan bonus yang diberikan petugas kapal sebagai menumpang tetap dan tarif akan berlaku bagi para wisatawan dengan tujuan keuntungan dan pencatatan. Berdasarkan dengan penarikan dan penetapan harga bagi penumpang yang  diterapkan oleh pemilik jasa transportasi di wisata religi asta Sayyid Yusuf merupakan sah menurut hukum Islam.

Kata kunci : Wisata Religi, Wisata Syariâah, Hukum Islam"
99,Komunikasi Antar Blater dalam Tradisi Remoh sebagai Wadah Negosiasi Konflik. (Studi Deskriptif Kualitatif Remoh Antar Blater di Kabupaten Bangkalan), Aini Wulandari," Dr. Bani Eka Dartiningsih, S.Sos., MSi","Dr. Yuliana Rakhmawati, S.Sos., M.Si","ABSTRAK

Remoh blater diadakan untuk berkumpulnya para blater dari berbagai desa yang ada di Kabupaten Bangkalan untuk mendapatkan keuntungan dari ekonomi, politik maupun dari segi lainnya. Tetapi bukan hanya itu saja remoh blater bisa dapat diadakan jika terjadi sebuah konflik dalam suatu desa dan membutuhkan sebuah musyawarah untuk dapat menyelesaikan konflik tersebut. Remoh blater digunakan para blater sebagai wadah negosiasi konflik dengan para blater lainnya. Negosiasi ini dilakukan agar mendapatkan penyelesaian dalam konflik tersebut tanpa merugikan kedua belah pihak. Maka dari itu untuk mendapatkan penyelesaian dalam konflik tersebut para blater biasanya mendiskusikan hal tersebut dalam acara remoh blater ini. 

Penelitian ini menggunakan metode penelitian deskriptif kualitatif dengan menggunakan observasi terstruktur, pengamatan langsung dilapangan serta melakukan wawancara mendalam tentang komunikasi antar blater dalam tradisi remoh sebagai wadah negosiasi di lingkungan kabupaten Bangkalan. Didalam penelitian ini peneliti menggunakan informan kunci dan pendukung, dimana infroman kuncinya adalah para blater dari berbagai desa. Informan pendukungnya adalah Kepala Desa dan Kiai. Teknik pengumpulan data dalam penelitian ini adalah dengan menggunakan wawancara, observasi, dokumentasi yang sesuai dengan penelitian.

Hasil dari penelitian yang dideskripsikan oleh para informan menunjukkan bahwa remoh blater memang digunakan sebagai wadah negosiasi konflik. Dimana dalam penelitian ini mendapatkan tiga konflik yang biasanya dibahas dalam acara remoh blater, yaitu konflik pembunuhan, pencurian (begal), dan konflik dalam politik. Dalam konflik-konflik ini cara penyelesaian yang digunakan para blater tentunya berbeda-beda dan juga dilakukan melalui beberapa tahapan.  

Kata kunci : Remoh Blater, Blater, Negosiasi Konflik

"
